2026-01-09 17:29:03,712 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:29:03,722 | INFO | test.lifecycle | === SCENARIO: User navigates to next page of results ===
2026-01-09 17:29:03,722 | INFO | test.lifecycle | Browser launch
2026-01-09 17:29:10,423 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:29:10,428 | INFO | pages.discover_page | Page navigation
2026-01-09 17:29:17,228 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:29:17,878 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:29:20,402 | INFO | pages.discover_page | Clicked Next page button
2026-01-09 17:29:26,914 | INFO | test.lifecycle | Scenario passed: User navigates to next page of results
2026-01-09 17:29:26,914 | INFO | test.lifecycle | Added passed test result to report: User navigates to next page of results
2026-01-09 17:29:26,915 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:29:29,411 | INFO | test.lifecycle | Browser closed
2026-01-09 17:29:29,412 | INFO | test.lifecycle | === SCENARIO: User navigates back to previous page ===
2026-01-09 17:29:29,412 | INFO | test.lifecycle | Browser launch
2026-01-09 17:29:36,761 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:29:36,766 | INFO | pages.discover_page | Page navigation
2026-01-09 17:29:43,124 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:29:43,817 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:29:47,228 | INFO | pages.discover_page | Clicked Next page button
2026-01-09 17:29:50,007 | INFO | pages.discover_page | Clicked Previous page button
2026-01-09 17:30:00,116 | INFO | test.lifecycle | Scenario passed: User navigates back to previous page
2026-01-09 17:30:00,117 | INFO | test.lifecycle | Added passed test result to report: User navigates back to previous page
2026-01-09 17:30:00,117 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:30:02,800 | INFO | test.lifecycle | Browser closed
2026-01-09 17:30:02,804 | INFO | test.lifecycle | === SCENARIO: Direct page number navigation ===
2026-01-09 17:30:02,804 | INFO | test.lifecycle | Browser launch
2026-01-09 17:30:10,944 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:30:10,949 | INFO | pages.discover_page | Page navigation
2026-01-09 17:30:19,123 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:30:19,735 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:30:21,483 | INFO | pages.discover_page | Clicked page number 3
2026-01-09 17:30:27,162 | INFO | step.verification | Verified 20 results displayed for page 3
2026-01-09 17:30:27,333 | INFO | test.lifecycle | Scenario passed: Direct page number navigation
2026-01-09 17:30:27,334 | INFO | test.lifecycle | Added passed test result to report: Direct page number navigation
2026-01-09 17:30:27,334 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:30:30,249 | INFO | test.lifecycle | Browser closed
2026-01-09 17:30:30,251 | INFO | test.lifecycle | === SCENARIO: User selects last page directly (known defect) ===
2026-01-09 17:30:30,252 | INFO | test.lifecycle | Browser launch
2026-01-09 17:30:37,214 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:30:37,222 | INFO | pages.discover_page | Page navigation
2026-01-09 17:30:43,253 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:30:43,898 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:30:47,808 | INFO | pages.discover_page | Found 14 total links, looking for page numbers
2026-01-09 17:30:49,204 | INFO | pages.discover_page | Found 7 numeric page links: [1, 2, 3, 4, 527, 528, 529]
2026-01-09 17:30:49,205 | INFO | pages.discover_page | Clicking last page number: 529
2026-01-09 17:30:49,554 | INFO | pages.discover_page | Clicked page number 529
2026-01-09 17:30:49,555 | INFO | pages.discover_page | Successfully clicked last page number: 529
2026-01-09 17:31:04,350 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:31:04,353 | INFO | test.lifecycle | === SCENARIO: Verify Top Rated category filter works ===
2026-01-09 17:31:04,354 | INFO | test.lifecycle | Browser launch
2026-01-09 17:31:11,860 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:31:11,872 | INFO | pages.discover_page | Page navigation
2026-01-09 17:31:29,563 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:31:30,294 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:31:30,816 | INFO | step.verification | step_verify_results called
2026-01-09 17:31:36,484 | INFO | step.verification | Found 20 results
2026-01-09 17:31:36,484 | INFO | step.verification | About to call debug_year_values()
2026-01-09 17:31:36,716 | INFO | pages.discover_page | DEBUG - Start year: '1900', End year: '2025'
2026-01-09 17:31:36,717 | INFO | pages.discover_page | DEBUG - Same year allowed: False
2026-01-09 17:31:36,717 | INFO | step.verification | Finished calling debug_year_values()
